what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744945409667
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744945415080
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744945415384
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1744945415777
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1744945415785
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744945415819
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1744945415838
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744945415882
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1744945416263
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744945429980
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1744945430777
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1744945431473
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1744945565446
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1744945567304
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744945573246
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744945581190
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744945586333
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1744945593152
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744945593169
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744945593721
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744945597045
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1744945602155
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1744945602171
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744945603332
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744945604489
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1744945604896
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1744945604896
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1744945606438
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1744945606552
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1744945606552
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744945644261
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744945673169
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744945682083
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744945822346
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744945835292
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744945897132
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744945908100
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744946192763
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744946194824
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744946245232
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744946248836
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744946249750
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.200.v20110928-1505,"org.eclipse.ui.views.properties.tabbed",1744946253387
opened,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1744946253430
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1744946253456
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1744946254998
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744946258480
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744946259529
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1744946259779
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1744946261090
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1744946261264
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1744946265077
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744946267855
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744946921884
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744946921940
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744946954132
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744946957473
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744946980197
