what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747363858796
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747363860847
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747363861295
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747364669812
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747364673300
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747364675453
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747365386923
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747366332946
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747366333670
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747366371485
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747366389132
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747366405044
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747366409089
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747366414563
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747366423104
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747366427926
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747366428527
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747366432025
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747366432965
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747366434787
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747366436688
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747366443393
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747366454536
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747366480215
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747366489450
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747366498111
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747366671854
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747366673065
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1747366673216
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747366673362
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1747366673799
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1747366673800
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1747366673800
stopped,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1747366674802
stopped,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1747366674803
stopped,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1747366674803
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1747366674803
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1747366674803
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1747366674803
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1747366674804
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1747366674804
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1747366674804
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1747366674805
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1747366674807
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1747366674807
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1747366674808
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201202111925,"org.eclipse.cdt.gdb.ui",1747366674809
stopped,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1747366674809
stopped,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1747366674809
stopped,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1747366674809
