what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1748271309717
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1748271310287
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1748271310289
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748271312846
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748271316229
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748271316523
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1748271316973
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1748271316977
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748271317041
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1748271317059
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748271317135
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1748271317455
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748271320047
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748271321004
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748271442529
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1748271444073
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1748271444425
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1748271445457
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1748271447074
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748271451007
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748271452806
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748271458666
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748271463772
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748271465991
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748271476460
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748271477075
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748271480627
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748271480950
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748271482003
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748271484769
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748271485526
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1748271485600
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748271485649
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1748271485825
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1748271485825
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1748271485825
stopped,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1748271485825
stopped,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1748271485825
stopped,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1748271485826
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1748271485826
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1748271485826
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1748271485826
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1748271485826
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1748271485826
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1748271485827
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1748271485844
