what,kind,bundleId,bundleVersion,description,time
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1748487419934
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1748487419934
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1748487419934
java.vm.specification.version,sysinfo,,,"1.0",1748487419934
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1748487419934
java.vm.version,sysinfo,,,"19.0-b09",1748487419934
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1748487420462
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748487454330
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748487454559
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1748487454569
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1748487456826
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1748487464078
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1748487466375
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1748487466410
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1748487529914
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748487594783
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748487670154
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748487746853
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748487882649
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748487912389
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748488038738
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748488042293
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748488279954
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748488313716
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748488331180
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748488332788
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748488350782
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748488353496
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748488498104
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748488576334
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748488584004
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748488736266
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748489350351
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748489361497
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748489391005
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748489393381
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748489445255
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748489452406
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748489456171
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748489468567
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748489471357
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748489520638
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748489800581
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1748489826690
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1748489840125
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1748489840381
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1748489854850
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1748489856881
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1748489859545
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1748489862311
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1748489866509
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1748490069074
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748490096818
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748490097446
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748490098388
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748490111902
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748490114970
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748490118665
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1748490118697
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748490120160
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748490130683
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748490130748
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748490245792
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748490250001
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748490303182
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1748490314895
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748490422744
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748491351273
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748491352316
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748491795134
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1748491933987
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1748491934231
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1748491934268
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1748491937806
opened,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1748491940938
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1748491940986
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1748491985628
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1748491990991
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1748491991008
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1748491991023
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1748491991070
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1748491991134
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748491997741
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748492142518
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1748492148785
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1748492149055
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1748492149086
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748492177807
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748492208830
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1748492208844
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1748492209106
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1748492209149
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1748492214636
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1748492214882
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1748492216515
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1748492216786
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1748492216837
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748492235243
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748492278734
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748492281886
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748492291936
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1748492292104
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1748492292350
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1748492292419
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1748492292419
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1748492292419
stopped,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1748492292419
stopped,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1748492292419
stopped,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1748492292419
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1748492292419
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1748492292419
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1748492292419
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1748492292421
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1748492292421
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1748492292421
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1748492292421
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1748492292421
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1748492292421
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1748492292421
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201202111925,"org.eclipse.cdt.gdb.ui",1748492292421
stopped,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1748492292421
stopped,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1748492292421
stopped,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1748492292421
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.traditional",1748492292421
stopped,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1748492292426
stopped,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1748492292426
stopped,bundle,org.eclipse.linuxtools.cdt.autotools.ui,1.0.1.201202152032,"org.eclipse.linuxtools.cdt.autotools.ui",1748492292427
stopped,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1748492292427
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.ui",1748492292427
stopped,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1748492292427
stopped,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1748492292427
stopped,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1748492292427
stopped,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1748492292427
stopped,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1748492292427
